1
3, 5
3, 7
3, 9
3, 15
3, 10, 16
3, 10, 18
3, 11, 17
3, 11, 19
3, 12, 16
3, 13, 17
5, 9
9, 15
6, 9, 17
6, 9, 19
4, 15
7, 15
7, 13
7, 16
7, 18
5, 7, 11
5, 10, 18
5, 6, 19
5, 11, 19
5, 6, 10, 14
5, 6, 12, 14
12, 18
4, 12, 16
13, 19
4, 13, 17
6, 11, 19
4, 6, 11, 17
